name,image,category
entity.minecraft.acacia_boat,acacia_boat.png,Разное
item.minecraft.acacia_chest_boat,acacia_chest_boat.png,Разное
block.minecraft.acacia_button,acacia_button.png,Разное
block.minecraft.acacia_door,acacia_door.png,Блоки
block.minecraft.acacia_fence,acacia_fence.png,Блоки
block.minecraft.acacia_fence_gate,acacia_fence_gate.png,Блоки
block.minecraft.acacia_hanging_sign,acacia_hanging_sign.png,Блоки
block.minecraft.acacia_leaves,acacia_leaves.png,Растения
block.minecraft.acacia_log,acacia_log.png,Блоки
block.minecraft.acacia_planks,acacia_planks.png,Блоки
block.minecraft.acacia_pressure_plate,acacia_pressure_plate.png,Разное
block.minecraft.acacia_sapling,acacia_sapling.png,Растения
block.minecraft.acacia_sign,acacia_sign.png,Блоки
block.minecraft.acacia_slab,acacia_slab.png,Блоки
block.minecraft.acacia_stairs,acacia_stairs.png,Блоки
block.minecraft.acacia_trapdoor,acacia_trapdoor.png,Блоки
block.minecraft.acacia_wood,acacia_wood.png,Блоки
block.minecraft.activator_rail,activator_rail.png,Разное
block.minecraft.allium,allium.png,Растения
block.minecraft.amethyst_cluster,amethyst_cluster.png,Ценности
item.minecraft.amethyst_shard,amethyst_shard.png,Ценности
block.minecraft.ancient_debris,ancient_debris.png,Ценности
block.minecraft.andesite,andesite.png,Блоки
block.minecraft.andesite_slab,andesite_slab.png,Блоки
block.minecraft.andesite_stairs,andesite_stairs.png,Блоки
block.minecraft.andesite_wall,andesite_wall.png,Блоки
block.minecraft.anvil,anvil.png,Разное
item.minecraft.apple,apple.png,Еда и зелья
item.minecraft.armadillo_scute,armadillo_scute.png,Лут с мобов
entity.minecraft.armor_stand,armor_stand.png,Разное
entity.minecraft.arrow,arrow.png,Инструменты
item.minecraft.tipped_arrow,tipped_arrow.png,Инструменты
block.minecraft.azalea,azalea.png,Растения
block.minecraft.azalea_leaves,azalea_leaves.png,Растения
block.minecraft.azure_bluet,azure_bluet.png,Растения
item.minecraft.baked_potato,baked_potato.png,Еда и зелья
block.minecraft.bamboo,bamboo.png,Растения
block.minecraft.bamboo_button,bamboo_button.png,Разное
block.minecraft.bamboo_door,bamboo_door.png,Блоки
block.minecraft.bamboo_fence,bamboo_fence.png,Блоки
block.minecraft.bamboo_fence_gate,bamboo_fence_gate.png,Блоки
block.minecraft.bamboo_hanging_sign,bamboo_hanging_sign.png,Блоки
block.minecraft.bamboo_mosaic,bamboo_mosaic.png,Блоки
block.minecraft.bamboo_mosaic_slab,bamboo_mosaic_slab.png,Блоки
block.minecraft.bamboo_mosaic_stairs,bamboo_mosaic_stairs.png,Блоки
block.minecraft.bamboo_planks,bamboo_planks.png,Блоки
block.minecraft.bamboo_pressure_plate,bamboo_pressure_plate.png,Разное
entity.minecraft.bamboo_raft,bamboo_raft.png,Разное
entity.minecraft.bamboo_chest_raft,bamboo_chest_raft.png,Разное
block.minecraft.bamboo_sign,bamboo_sign.png,Блоки
block.minecraft.bamboo_slab,bamboo_slab.png,Блоки
block.minecraft.bamboo_stairs,bamboo_stairs.png,Блоки
block.minecraft.bamboo_trapdoor,bamboo_trapdoor.png,Блоки
item.minecraft.creeper_banner_pattern,creeper_banner_pattern.png,Разное
block.minecraft.barrel,barrel.png,Разное
block.minecraft.basalt,basalt.png,Блоки
block.minecraft.beacon,beacon.png,Ценности
block.minecraft.bee_nest,bee_nest.png,Разное
block.minecraft.beehive,beehive.png,Разное
block.minecraft.beetroots,beetroot.png,Еда и зелья
item.minecraft.beetroot_seeds,beetroot_seeds.png,Растения
item.minecraft.beetroot_soup,beetroot_soup.png,Еда и зелья
block.minecraft.bell,bell.png,Разное
block.minecraft.big_dripleaf,big_dripleaf.png,Растения
entity.minecraft.birch_boat,birch_boat.png,Разное
entity.minecraft.birch_chest_boat,birch_chest_boat.png,Разное
block.minecraft.birch_button,birch_button.png,Разное
block.minecraft.birch_door,birch_door.png,Блоки
block.minecraft.birch_fence,birch_fence.png,Блоки
block.minecraft.birch_fence_gate,birch_fence_gate.png,Блоки
block.minecraft.birch_hanging_sign,birch_hanging_sign.png,Блоки
block.minecraft.birch_leaves,birch_leaves.png,Растения
block.minecraft.birch_log,birch_log.png,Блоки
block.minecraft.birch_planks,birch_planks.png,Блоки
block.minecraft.birch_pressure_plate,birch_pressure_plate.png,Разное
block.minecraft.birch_sapling,birch_sapling.png,Растения
block.minecraft.birch_sign,birch_sign.png,Блоки
block.minecraft.birch_slab,birch_slab.png,Блоки
block.minecraft.birch_stairs,birch_stairs.png,Блоки
block.minecraft.birch_trapdoor,birch_trapdoor.png,Блоки
block.minecraft.birch_wood,birch_wood.png,Блоки
block.minecraft.black_banner,black_banner.png,Блоки
block.minecraft.black_bed,black_bed.png,Блоки
